OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE_FIXED,REPORT_DATE,OCC_DATE_FIXED,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,MCI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
1440,GO-20151001196,2015-06-15,1.43434E+12,2015-06-10,1.43391E+12,2015,June,15,166,Monday    ,2,2015,June,10,161,Wednesday ,18,D41,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2133,200,Theft Over - Shoplifting,Theft Over,119,Wexford/Maryvale,119,Wexford/Maryvale (119),-79.29146059,43.72699014
1441,GO-20151003195,2015-06-15,1.43434E+12,2014-12-27,1.41966E+12,2015,June,15,166,Monday    ,11,2014,December,27,361,Saturday  ,9,D33,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,46,Pleasant View,46,Pleasant View (46),-79.3393215,43.79914254
1442,GO-20151003440,2015-06-15,1.43434E+12,2015-06-12,1.43408E+12,2015,June,15,166,Monday    ,11,2015,June,12,163,Friday    ,0,D42,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,128,Agincourt South-Malvern West,128,Agincourt South-Malvern West (128),-79.2497877,43.79362712
1443,GO-20159003651,2015-06-15,1.43434E+12,2015-06-03,1.4333E+12,2015,June,15,166,Monday    ,21,2015,June,3,154,Wednesday ,10,D31,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,200,Theft From Mail / Bag / Key,Theft Over,155,Downsview,26,Downsview-Roding-CFB (26),-79.49008201,43.741112
1444,GO-20151011688,2015-06-16,1.43443E+12,2015-06-15,1.43434E+12,2015,June,16,167,Tuesday   ,15,2015,June,15,166,Monday    ,17,D33,"Open Areas (Lakes, Parks, Rivers)",Outside,2130,210,Theft Over,Theft Over,48,Hillcrest Village,48,Hillcrest Village (48),-79.35271129,43.79964575
1445,GO-20151010050,2015-06-16,1.43443E+12,2015-06-15,1.43434E+12,2015,June,16,167,Tuesday   ,11,2015,June,15,166,Monday    ,22,D53,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,95,Annex,95,Annex (95),-79.3918157,43.67725448
1446,GO-20151011064,2015-06-16,1.43443E+12,2015-01-14,1.42121E+12,2015,June,16,167,Tuesday   ,14,2015,January,14,14,Wednesday ,12,D43,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,156,Bendale-Glen Andrew,127,Bendale (127),-79.2546391,43.77251954
1447,GO-20151018228,2015-06-17,1.43451E+12,2015-05-25,1.43253E+12,2015,June,17,168,Wednesday ,21,2015,May,25,145,Monday    ,0,D13,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,101,Forest Hill South,101,Forest Hill South (101),-79.41411692,43.69204445
1448,GO-20151016619,2015-06-17,1.43451E+12,2015-06-16,1.43443E+12,2015,June,17,168,Wednesday ,11,2015,June,16,167,Tuesday   ,9,D23,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,1,West Humber-Clairville,1,West Humber-Clairville (1),-79.59556249,43.68675119
1449,GO-20151023738,2015-06-18,1.4346E+12,2015-03-18,1.42665E+12,2015,June,18,169,Thursday  ,13,2015,March,18,77,Wednesday ,11,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2130,210,Theft Over,Theft Over,168,Downtown Yonge East,75,Church-Yonge Corridor (75),-79.37591209,43.65096746
1450,GO-20151023614,2015-06-18,1.4346E+12,2015-05-30,1.43296E+12,2015,June,18,169,Thursday  ,13,2015,May,30,150,Saturday  ,16,D41,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,120,Clairlea-Birchmount,120,Clairlea-Birchmount (120),-79.26866366,43.70098808
1451,GO-20151023232,2015-06-18,1.4346E+12,2015-06-15,1.43434E+12,2015,June,18,169,Thursday  ,12,2015,June,15,166,Monday    ,0,D52,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,170,Yonge-Bay Corridor,76,Bay Street Corridor (76),-79.38519208,43.6592197
1452,GO-20151029747,2015-06-19,1.43469E+12,2015-06-14,1.43425E+12,2015,June,19,170,Friday    ,11,2015,June,14,165,Sunday    ,20,D22,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2132,200,Theft From Motor Vehicle Over,Theft Over,9,Edenbridge-Humber Valley,9,Edenbridge-Humber Valley (9),-79.52337776,43.67455216
1453,GO-20151029483,2015-06-19,1.43469E+12,2014-09-01,1.40954E+12,2015,June,19,170,Friday    ,10,2014,September,1,244,Monday    ,0,D12,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,90,Junction Area,90,Junction Area (90),-79.47833656,43.67206216
1454,GO-20151030500,2015-06-19,1.43469E+12,2015-06-11,1.434E+12,2015,June,19,170,Friday    ,13,2015,June,11,162,Thursday  ,23,D52,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,78,Kensington-Chinatown,78,Kensington-Chinatown (78),-79.39099518,43.6560293
1455,GO-20151028138,2015-06-19,1.43469E+12,2015-06-19,1.43469E+12,2015,June,19,170,Friday    ,4,2015,June,19,170,Friday    ,3,D23,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2130,210,Theft Over,Theft Over,1,West Humber-Clairville,1,West Humber-Clairville (1),-79.60540081,43.74510337
1456,GO-20151034274,2015-06-19,1.43469E+12,2015-06-14,1.43425E+12,2015,June,19,170,Friday    ,23,2015,June,14,165,Sunday    ,0,D12,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,30,Brookhaven-Amesbury,30,Brookhaven-Amesbury (30),-79.49172584,43.70548409
1457,GO-20151032976,2015-06-19,1.43469E+12,2015-05-25,1.43253E+12,2015,June,19,170,Friday    ,21,2015,May,25,145,Monday    ,0,D22,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,160,Mimico-Queensway,17,Mimico (includes Humber Bay Shores) (17),-79.50458834,43.61541928
1458,GO-20151038536,2015-06-20,1.43477E+12,2015-02-18,1.42424E+12,2015,June,20,171,Saturday  ,16,2015,February,18,49,Wednesday ,0,D33,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,42,Banbury-Don Mills,42,Banbury-Don Mills (42),-79.3468247,43.7414981
1459,GO-20151045393,2015-06-21,1.43486E+12,2015-06-21,1.43486E+12,2015,June,21,172,Sunday    ,19,2015,June,21,172,Sunday    ,0,D33,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,53,Henry Farm,53,Henry Farm (53),-79.33710903,43.77439469
1460,GO-20151043219,2015-06-21,1.43486E+12,2015-06-20,1.43477E+12,2015,June,21,172,Sunday    ,12,2015,June,20,171,Saturday  ,21,D22,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,159,Etobicoke City Centre,14,Islington-City Centre West (14),-79.55689984,43.61011982
1461,GO-20151050656,2015-06-22,1.43495E+12,2015-06-22,1.43495E+12,2015,June,22,173,Monday    ,15,2015,June,22,173,Monday    ,15,D14,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,163,Fort York-Liberty Village,82,Niagara (82),-79.40002724,43.63736531
1462,GO-20151050493,2015-06-22,1.43495E+12,2015-06-20,1.43477E+12,2015,June,22,173,Monday    ,14,2015,June,20,171,Saturday  ,17,D43,"Open Areas (Lakes, Parks, Rivers)",Outside,2130,210,Theft Over,Theft Over,143,West Rouge,131,Rouge (131),-79.13273043,43.77839201
1463,GO-20151058077,2015-06-23,1.43503E+12,2015-06-20,1.43477E+12,2015,June,23,174,Tuesday   ,16,2015,June,20,171,Saturday  ,14,D11,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,83,Dufferin Grove,83,Dufferin Grove (83),-79.44769738,43.65684092
1464,GO-20151054597,2015-06-23,1.43503E+12,2015-04-01,1.42786E+12,2015,June,23,174,Tuesday   ,9,2015,April,1,91,Wednesday ,12,D31,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,155,Downsview,26,Downsview-Roding-CFB (26),-79.48614784,43.73102093
1465,GO-20151054694,2015-06-23,1.43503E+12,2015-05-22,1.43227E+12,2015,June,23,174,Tuesday   ,8,2015,May,22,142,Friday    ,7,D33,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,40,St.Andrew-Windfields,40,St.Andrew-Windfields (40),-79.38299152,43.75616256
1466,GO-20151049045,2015-06-23,1.43503E+12,2015-06-15,1.43434E+12,2015,June,23,174,Tuesday   ,8,2015,June,15,166,Monday    ,22,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2132,200,Theft From Motor Vehicle Over,Theft Over,33,Clanton Park,33,Clanton Park (33),-79.4424446,43.73679868
1467,GO-20151058511,2015-06-23,1.43503E+12,2015-06-23,1.43503E+12,2015,June,23,174,Tuesday   ,17,2015,June,23,174,Tuesday   ,11,D53,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,2133,200,Theft Over - Shoplifting,Theft Over,95,Annex,95,Annex (95),-79.39196571,43.66979618
1468,GO-20151057066,2015-06-23,1.43503E+12,2014-06-23,1.4035E+12,2015,June,23,174,Tuesday   ,14,2014,June,23,174,Monday    ,14,D32,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,35,Westminster-Branson,35,Westminster-Branson (35),-79.44575532,43.79241276
1469,GO-20151057746,2015-06-24,1.43512E+12,2015-06-21,1.43486E+12,2015,June,24,175,Wednesday ,9,2015,June,21,172,Sunday    ,22,D32,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,27,York University Heights,27,York University Heights (27),-79.4765868,43.76431282
1470,GO-20151063240,2015-06-24,1.43512E+12,2015-06-07,1.43365E+12,2015,June,24,175,Wednesday ,12,2015,June,7,158,Sunday    ,2,D41,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,120,Clairlea-Birchmount,120,Clairlea-Birchmount (120),-79.28245088,43.72404176
1471,GO-20151070598,2015-06-25,1.4352E+12,2015-06-22,1.43495E+12,2015,June,25,176,Thursday  ,14,2015,June,22,173,Monday    ,0,D53,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2132,200,Theft From Motor Vehicle Over,Theft Over,56,Leaside-Bennington,56,Leaside-Bennington (56),-79.36722509,43.71307198
1472,GO-20151070721,2015-06-25,1.4352E+12,2015-06-25,1.4352E+12,2015,June,25,176,Thursday  ,14,2015,June,25,176,Thursday  ,12,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,78,Kensington-Chinatown,78,Kensington-Chinatown (78),-79.39571487,43.65225847
1473,GO-20151072273,2015-06-25,1.4352E+12,2015-06-25,1.4352E+12,2015,June,25,176,Thursday  ,18,2015,June,25,176,Thursday  ,18,D41,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,124,Kennedy Park,125,Ionview (125),-79.26792828,43.73219543
1474,GO-20151077586,2015-06-26,1.43529E+12,2015-06-25,1.4352E+12,2015,June,26,177,Friday    ,17,2015,June,25,176,Thursday  ,15,D23,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2130,210,Theft Over,Theft Over,1,West Humber-Clairville,1,West Humber-Clairville (1),-79.61415028,43.75544628
1475,GO-20151082981,2015-06-27,1.43538E+12,2014-12-15,1.41862E+12,2015,June,27,178,Saturday  ,15,2014,December,15,349,Monday    ,15,D43,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,200,Theft From Mail / Bag / Key,Theft Over,134,Highland Creek,134,Highland Creek (134),-79.18649908,43.79581806
1476,GO-20151081359,2015-06-27,1.43538E+12,2015-05-30,1.43296E+12,2015,June,27,178,Saturday  ,10,2015,May,30,150,Saturday  ,0,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,200,Theft From Mail / Bag / Key,Theft Over,165,Harbourfront-CityPlace,77,Waterfront Communities-The Island (77),-79.39188563,43.63764751
1477,GO-20151087829,2015-06-28,1.43546E+12,2015-06-27,1.43538E+12,2015,June,28,179,Sunday    ,13,2015,June,27,178,Saturday  ,14,D42,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,2130,210,Theft Over,Theft Over,118,Tam O'Shanter-Sullivan,118,Tam O'Shanter-Sullivan (118),-79.29450547,43.78471825
1478,GO-20151085591,2015-06-28,1.43546E+12,2015-06-27,1.43538E+12,2015,June,28,179,Sunday    ,1,2015,June,27,178,Saturday  ,20,D52,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,170,Yonge-Bay Corridor,76,Bay Street Corridor (76),-79.37791469,43.64914254
1479,GO-20151091877,2015-06-29,1.43555E+12,2015-06-29,1.43555E+12,2015,June,29,180,Monday    ,7,2015,June,29,180,Monday    ,0,D43,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2132,200,Theft From Motor Vehicle Over,Theft Over,134,Highland Creek,134,Highland Creek (134),-79.17441752,43.78987121
1480,GO-20151094337,2015-06-29,1.43555E+12,2015-06-29,1.43555E+12,2015,June,29,180,Monday    ,14,2015,June,29,180,Monday    ,13,D31,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,200,Theft From Mail / Bag / Key,Theft Over,27,York University Heights,27,York University Heights (27),-79.49802125,43.76906651
1481,GO-20151094157,2015-06-29,1.43555E+12,2015-06-29,1.43555E+12,2015,June,29,180,Monday    ,14,2015,June,29,180,Monday    ,14,D31,"Apartment (Rooming House, Condo)",Apartment,2130,230,Theft Of Utilities Over,Theft Over,154,Oakdale-Beverley Heights,26,Downsview-Roding-CFB (26),-79.50771695,43.72103636
1482,GO-20151092010,2015-06-29,1.43555E+12,2015-06-27,1.43538E+12,2015,June,29,180,Monday    ,8,2015,June,27,178,Saturday  ,16,D23,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2130,210,Theft Over,Theft Over,1,West Humber-Clairville,1,West Humber-Clairville (1),-79.58097302,43.68580231
1483,GO-20151095165,2015-06-29,1.43555E+12,2015-06-29,1.43555E+12,2015,June,29,180,Monday    ,16,2015,June,29,180,Monday    ,16,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,39,Bedford Park-Nortown,39,Bedford Park-Nortown (39),-79.41827691,43.72889438
1484,GO-20151091666,2015-06-29,1.43555E+12,2015-06-26,1.43529E+12,2015,June,29,180,Monday    ,6,2015,June,26,177,Friday    ,15,D23,"Construction Site (Warehouse, Trailer, Shed)",Commercial,2130,210,Theft Over,Theft Over,1,West Humber-Clairville,1,West Humber-Clairville (1),-79.58496654,43.67833551
1485,GO-20151088409,2015-06-29,1.43555E+12,2015-06-26,1.43529E+12,2015,June,29,180,Monday    ,2,2015,June,26,177,Friday    ,17,D14,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,162,West Queen West,82,Niagara (82),-79.40512056,43.64300558
1486,GO-20151096559,2015-06-29,1.43555E+12,2015-06-26,1.43529E+12,2015,June,29,180,Monday    ,20,2015,June,26,177,Friday    ,20,D53,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,98,Rosedale-Moore Park,98,Rosedale-Moore Park (98),-79.37958667,43.68914683
1487,GO-20151092894,2015-06-29,1.43555E+12,2015-06-29,1.43555E+12,2015,June,29,180,Monday    ,10,2015,June,29,180,Monday    ,0,D12,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,29,Maple Leaf,29,Maple Leaf (29),-79.47863438,43.71117851
1488,GO-20151091822,2015-06-29,1.43555E+12,2015-06-26,1.43529E+12,2015,June,29,180,Monday    ,7,2015,June,26,177,Friday    ,16,D22,"Private Property Structure (Pool, Shed, Detached Garage)",Other,2132,200,Theft From Motor Vehicle Over,Theft Over,20,Alderwood,20,Alderwood (20),-79.54240659,43.61423093
1489,GO-20151098925,2015-06-30,1.43564E+12,2015-06-26,1.43529E+12,2015,June,30,181,Tuesday   ,8,2015,June,26,177,Friday    ,11,D14,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,164,Wellington Place,77,Waterfront Communities-The Island (77),-79.40097789,43.64469156
1490,GO-20151106353,2015-07-01,1.43572E+12,2015-06-30,1.43564E+12,2015,July,1,182,Wednesday ,11,2015,June,30,181,Tuesday   ,22,D23,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2130,210,Theft Over,Theft Over,1,West Humber-Clairville,1,West Humber-Clairville (1),-79.57587394,43.71891452
1491,GO-20151113073,2015-07-02,1.43581E+12,2015-06-29,1.43555E+12,2015,July,2,183,Thursday  ,12,2015,June,29,180,Monday    ,0,D14,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,163,Fort York-Liberty Village,82,Niagara (82),-79.41439412,43.62939868
1492,GO-20151114391,2015-07-02,1.43581E+12,2015-07-02,1.43581E+12,2015,July,2,183,Thursday  ,16,2015,July,2,183,Thursday  ,15,D52,Convenience Stores,Commercial,2130,210,Theft Over,Theft Over,165,Harbourfront-CityPlace,77,Waterfront Communities-The Island (77),-79.38278818,43.64262999
1493,GO-20151112861,2015-07-02,1.43581E+12,2015-06-25,1.4352E+12,2015,July,2,183,Thursday  ,12,2015,June,25,176,Thursday  ,19,D22,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,159,Etobicoke City Centre,14,Islington-City Centre West (14),-79.55470888,43.63279682
1494,GO-20151111440,2015-07-02,1.43581E+12,2015-07-01,1.43572E+12,2015,July,2,183,Thursday  ,8,2015,July,1,182,Wednesday ,8,D32,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,27,York University Heights,27,York University Heights (27),-79.4765868,43.76431282
1495,GO-20151112559,2015-07-02,1.43581E+12,2015-05-11,1.43132E+12,2015,July,2,183,Thursday  ,11,2015,May,11,131,Monday    ,11,D53,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,97,Yonge-St.Clair,97,Yonge-St.Clair (97),-79.39459979,43.6892109
1496,GO-20151113513,2015-07-02,1.43581E+12,2015-06-30,1.43564E+12,2015,July,2,183,Thursday  ,14,2015,June,30,181,Tuesday   ,19,D52,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,169,Bay-Cloverhill,76,Bay Street Corridor (76),-79.38784897,43.66955626
1497,GO-20151112482,2015-07-02,1.43581E+12,2015-06-30,1.43564E+12,2015,July,2,183,Thursday  ,11,2015,June,30,181,Tuesday   ,21,D11,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,85,South Parkdale,85,South Parkdale (85),-79.45889879,43.63770425
1498,GO-20151119684,2015-07-03,1.4359E+12,2015-07-03,1.4359E+12,2015,July,3,184,Friday    ,12,2015,July,3,184,Friday    ,11,D52,"Apartment (Rooming House, Condo)",Apartment,2130,200,Theft From Mail / Bag / Key,Theft Over,78,Kensington-Chinatown,78,Kensington-Chinatown (78),-79.39727175,43.65765974
1499,GO-20151109375,2015-07-03,1.4359E+12,2015-07-03,1.4359E+12,2015,July,3,184,Friday    ,23,2015,July,3,184,Friday    ,21,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,166,St Lawrence-East Bayfront-The Islands,77,Waterfront Communities-The Island (77),-79.3627368,43.65156237
1500,GO-20151114108,2015-07-03,1.4359E+12,2015-06-01,1.43313E+12,2015,July,3,184,Friday    ,11,2015,June,1,152,Monday    ,15,D52,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,169,Bay-Cloverhill,76,Bay Street Corridor (76),-79.39138077,43.66852351
1501,GO-20151120849,2015-07-03,1.4359E+12,2015-07-03,1.4359E+12,2015,July,3,184,Friday    ,15,2015,July,3,184,Friday    ,12,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,166,St Lawrence-East Bayfront-The Islands,77,Waterfront Communities-The Island (77),-79.37146136,43.649444
1502,GO-20151127294,2015-07-04,1.43598E+12,2015-07-04,1.43598E+12,2015,July,4,185,Saturday  ,15,2015,July,4,185,Saturday  ,15,D32,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,39,Bedford Park-Nortown,39,Bedford Park-Nortown (39),-79.42520435,43.73478618
1503,GO-20151131533,2015-07-05,1.43607E+12,2015-06-09,1.43382E+12,2015,July,5,186,Sunday    ,8,2015,June,9,160,Tuesday   ,12,D13,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,107,Oakwood Village,107,Oakwood Village (107),-79.43085618,43.68354246
1504,GO-20159004186,2015-07-05,1.43607E+12,2015-06-30,1.43564E+12,2015,July,5,186,Sunday    ,21,2015,June,30,181,Tuesday   ,13,D31,"Apartment (Rooming House, Condo)",Apartment,2130,200,Theft From Mail / Bag / Key,Theft Over,27,York University Heights,27,York University Heights (27),-79.50254061,43.76718737
1505,GO-20151119830,2015-07-05,1.43607E+12,2015-03-05,1.42553E+12,2015,July,5,186,Sunday    ,17,2015,March,5,64,Thursday  ,8,D11,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,83,Dufferin Grove,83,Dufferin Grove (83),-79.43761292,43.65508384
1506,GO-20151138427,2015-07-06,1.43616E+12,2015-06-11,1.434E+12,2015,July,6,187,Monday    ,11,2015,June,11,162,Thursday  ,21,D53,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,98,Rosedale-Moore Park,98,Rosedale-Moore Park (98),-79.38669058,43.68327365
1507,GO-20151139490,2015-07-06,1.43616E+12,2015-02-01,1.42277E+12,2015,July,6,187,Monday    ,13,2015,February,1,32,Sunday    ,0,D42,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,128,Agincourt South-Malvern West,128,Agincourt South-Malvern West (128),-79.24456126,43.79087691
1508,GO-20151140566,2015-07-06,1.43616E+12,2015-07-06,1.43616E+12,2015,July,6,187,Monday    ,16,2015,July,6,187,Monday    ,14,D53,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,97,Yonge-St.Clair,97,Yonge-St.Clair (97),-79.39413835,43.68807689
1509,GO-20151137499,2015-07-06,1.43616E+12,2015-07-05,1.43607E+12,2015,July,6,187,Monday    ,16,2015,July,5,186,Sunday    ,15,D22,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2132,200,Theft From Motor Vehicle Over,Theft Over,11,Eringate-Centennial-West Deane,11,Eringate-Centennial-West Deane (11),-79.56365002,43.67172698
1510,GO-20151139740,2015-07-06,1.43616E+12,2015-07-06,1.43616E+12,2015,July,6,187,Monday    ,14,2015,July,6,187,Monday    ,14,D55,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,200,Theft From Mail / Bag / Key,Theft Over,70,South Riverdale,70,South Riverdale (70),-79.34853806,43.66635071
1511,GO-20151144955,2015-07-07,1.43624E+12,2015-06-27,1.43538E+12,2015,July,7,188,Tuesday   ,13,2015,June,27,178,Saturday  ,8,D33,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,42,Banbury-Don Mills,42,Banbury-Don Mills (42),-79.32610538,43.72766203
1512,GO-20151139248,2015-07-07,1.43624E+12,2015-07-06,1.43616E+12,2015,July,7,188,Tuesday   ,7,2015,July,6,187,Monday    ,13,D32,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,50,Newtonbrook East,50,Newtonbrook East (50),-79.4185722,43.79205855
1513,GO-20151144224,2015-07-07,1.43624E+12,2015-07-07,1.43624E+12,2015,July,7,188,Tuesday   ,13,2015,July,7,188,Tuesday   ,1,D23,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,2130,210,Theft Over,Theft Over,1,West Humber-Clairville,1,West Humber-Clairville (1),-79.57979024,43.70463365
1514,GO-20151185112,2015-07-07,1.43624E+12,2015-05-30,1.43296E+12,2015,July,7,188,Tuesday   ,0,2015,May,30,150,Saturday  ,0,D11,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,114,Lambton Baby Point,114,Lambton Baby Point (114),-79.48783028,43.65160188
1515,GO-20151146578,2015-07-07,1.43624E+12,2015-07-07,1.43624E+12,2015,July,7,188,Tuesday   ,17,2015,July,7,188,Tuesday   ,13,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2133,200,Theft Over - Shoplifting,Theft Over,170,Yonge-Bay Corridor,76,Bay Street Corridor (76),-79.37997035,43.65405661
1516,GO-20159004285,2015-07-08,1.43633E+12,2014-06-01,1.4016E+12,2015,July,8,189,Wednesday ,12,2014,June,1,152,Sunday    ,12,D14,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,163,Fort York-Liberty Village,82,Niagara (82),-79.41925187,43.63765142
1517,GO-20151151250,2015-07-08,1.43633E+12,2015-07-01,1.43572E+12,2015,July,8,189,Wednesday ,8,2015,July,1,182,Wednesday ,17,D54,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,44,Flemingdon Park,44,Flemingdon Park (44),-79.33385335,43.70857582
1518,GO-20151146226,2015-07-08,1.43633E+12,2015-06-28,1.43546E+12,2015,July,8,189,Wednesday ,10,2015,June,28,179,Sunday    ,22,D43,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2132,200,Theft From Motor Vehicle Over,Theft Over,134,Highland Creek,134,Highland Creek (134),-79.17727923,43.78605457
1519,GO-20151131756,2015-07-08,1.43633E+12,2015-06-01,1.43313E+12,2015,July,8,189,Wednesday ,8,2015,June,1,152,Monday    ,0,D22,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,158,Islington,14,Islington-City Centre West (14),-79.52734335,43.65031636
1520,GO-20151131756,2015-07-08,1.43633E+12,2015-06-01,1.43313E+12,2015,July,8,189,Wednesday ,8,2015,June,1,152,Monday    ,0,D22,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,158,Islington,14,Islington-City Centre West (14),-79.52734335,43.65031636
