OBJECTID,EVENT_UNIQUE_ID,REPORT_DATE_FIXED,REPORT_DATE,OCC_DATE_FIXED,OCC_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DAY,REPORT_DOY,REPORT_DOW,REPORT_HOUR,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOY,OCC_DOW,OCC_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,UCR_CODE,UCR_EXT,OFFENCE,MCI_CATEGORY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84
18,GO-20141303907,2014-01-09,1.38924E+12,2014-01-06,1.38898E+12,2014,January,9,9,Thursday  ,11,2014,January,6,6,Monday    ,0,D23,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,1,West Humber-Clairville,1,West Humber-Clairville (1),-79.58436434,43.6773761
19,GO-20141312296,2014-01-09,1.38924E+12,2013-12-26,1.38803E+12,2014,January,9,9,Thursday  ,17,2013,December,26,360,Thursday  ,14,D23,"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",Other,2130,210,Theft Over,Theft Over,1,West Humber-Clairville,1,West Humber-Clairville (1),-79.58839692,43.70261798
20,GO-20141309782,2014-01-09,1.38924E+12,2014-01-09,1.38924E+12,2014,January,9,9,Thursday  ,10,2014,January,9,9,Thursday  ,10,D31,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,2130,210,Theft Over,Theft Over,22,Humbermede,22,Humbermede (22),-79.53146305,43.74965466
21,GO-20141315465,2014-01-10,1.38933E+12,2014-01-09,1.38924E+12,2014,January,10,10,Friday    ,8,2014,January,9,9,Thursday  ,22,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,78,Kensington-Chinatown,78,Kensington-Chinatown (78),-79.39986717,43.65254515
22,GO-20141335936,2014-01-11,1.38942E+12,2014-01-11,1.38942E+12,2014,January,11,11,Saturday  ,16,2014,January,11,11,Saturday  ,16,D33,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,2132,200,Theft From Motor Vehicle Over,Theft Over,47,Don Valley Village,47,Don Valley Village (47),-79.35949488,43.77333644
23,GO-20141318041,2014-01-11,1.38942E+12,2013-12-01,1.38587E+12,2014,January,11,11,Saturday  ,0,2013,December,1,335,Sunday    ,0,D51,"Apartment (Rooming House, Condo)",Apartment,2130,210,Theft Over,Theft Over,167,Church-Wellesley,75,Church-Yonge Corridor (75),-79.38071926,43.66355444
24,GO-20141326157,2014-01-11,1.38942E+12,2014-01-11,1.38942E+12,2014,January,11,11,Saturday  ,21,2014,January,11,11,Saturday  ,21,D14,"Apartment (Rooming House, Condo)",Apartment,2132,200,Theft From Motor Vehicle Over,Theft Over,163,Fort York-Liberty Village,82,Niagara (82),-79.41424257,43.63943083
25,GO-20141331086,2014-01-12,1.3895E+12,2014-01-12,1.3895E+12,2014,January,12,12,Sunday    ,17,2014,January,12,12,Sunday    ,12,D32,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,40,St.Andrew-Windfields,40,St.Andrew-Windfields (40),-79.39829231,43.75092659
26,GO-20141336659,2014-01-13,1.38959E+12,2014-01-13,1.38959E+12,2014,January,13,13,Monday    ,15,2014,January,13,13,Monday    ,15,D33,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,2130,210,Theft Over,Theft Over,40,St.Andrew-Windfields,40,St.Andrew-Windfields (40),-79.36041079,43.75484268
27,GO-20141342156,2014-01-14,1.38968E+12,2014-01-14,1.38968E+12,2014,January,14,14,Tuesday   ,15,2014,January,14,14,Tuesday   ,14,D33,"Single Home, House (Attach Garage, Cottage, Mobile)",House,2130,210,Theft Over,Theft Over,53,Henry Farm,53,Henry Farm (53),-79.34903574,43.76837231
